Year,Experimental Plot Number,Replication,Treatment Number,Crop Rotation,Current Crop,Crop Yield kgha,Fertilizer Nitrogen kg/ha, crop seeds or plant number/ha,Yield $/ha,seed $/ha,$/ha Herbicide (Pre),$/ha Herbicide (incrop),$/ha Herbicide (post),Herbicide cost,Fertilizer cost $,machinery cost (planting),machinery cost (ferti app),machinery cost (harvesting),Machinery use (herbicide app),Production cost $/ha,Net revenue $/ha,Gross revenue $/ha
2017,314,3,26,CSSwP,Soy,3263.26,.,301468.10,1070.35,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,738.18,1070.35
2017,318,3,31,COWwS,Wwheat,3449.83,95.29,3444448.00,641.67,31.28,.,.,12.28,12.28,73.37,43.10,17.91,84.10,17.29,279.33,362.34,641.67
2017,321,3,19,CSSwSf,Swheat,919.80,112.10,3444448.00,207.88,35.82,.,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,-118.13,207.88
2017,323,3,25,CSSwP,Corn,10111.56,113.22,59994.62,1233.61,158.99,65.95,33.58,12.28,111.81,87.18,47.92,17.91,132.64,51.87,608.31,625.30,1233.61
2017,327,3,28,CSSwP,Pea,4627.94,.,741315.00,1203.27,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,911.30,1203.27
2017,328,3,30,COWwS,Oat,2412.90,131.16,3229170.00,407.78,37.14,.,11.89,12.28,24.17,100.99,43.10,17.91,84.10,34.58,341.99,65.79,407.78
2017,330,3,29,COWwS,Corn,9857.06,122.19,59994.62,1202.56,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,587.34,1202.56
2017,332,3,33,CS,Corn,7669.79,122.19,59994.62,935.71,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,320.50,935.71
2017,333,3,9,CPWwS,Corn,9578.33,122.19,59994.62,1168.56,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,553.34,1168.56
2017,336,3,18,CSSwSf,Soy,4213.69,.,301468.10,1382.09,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1049.92,1382.09
2017,337,3,17,CSSwSf,Corn,8417.97,122.19,59994.62,1026.99,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,411.78,1026.99
2017,402,4,30,COWwS,Oat,2069.59,131.16,3229170.00,349.76,37.14,.,11.89,12.28,24.17,100.99,43.10,17.91,84.10,34.58,341.99,7.77,349.76
2017,404,4,11,CPWwS,Wwheat,3691.33,104.25,3444448.00,686.59,31.28,.,.,12.28,12.28,80.27,43.10,17.91,84.10,17.29,286.23,400.35,686.59
2017,406,4,17,CSSwSf,Corn,9006.36,122.19,59994.62,1098.78,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,483.56,1098.78
2017,407,4,10,CPWwS,Pea,3510.90,.,741315.00,912.83,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,620.87,912.83
2017,408,4,12,CPWwS,Soy,4191.17,.,301468.10,1374.70,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1042.54,1374.70
2017,409,4,29,COWwS,Corn,9769.02,122.19,59994.62,1191.82,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,576.60,1191.82
2017,411,4,25,CSSwP,Corn,10063.74,113.22,59994.62,1227.78,158.99,65.95,33.58,12.28,111.81,87.18,47.92,17.91,132.64,51.87,608.31,619.46,1227.78
2017,413,4,31,COWwS,Wwheat,3853.46,95.29,3444448.00,716.74,31.28,.,.,12.28,12.28,73.37,43.10,17.91,84.10,17.29,279.33,437.42,716.74
2017,419,4,19,CSSwSf,Swheat,919.80,112.10,3444448.00,207.88,35.82,.,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,-118.13,207.88
2017,420,4,37,CCC,CornHigh,8882.85,132.28,59994.62,1083.71,158.99,65.95,33.58,12.28,111.81,101.85,47.92,17.91,132.64,51.87,622.99,460.72,1083.71
2017,421,4,9,CPWwS,Corn,8825.30,122.19,59994.62,1076.69,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,461.47,1076.69
2017,422,4,27,CSSwP,Swheat,1727.05,112.10,3444448.00,390.31,35.82,,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,64.31,390.31
2017,423,4,32,COWwS,Soy,4802.85,.,301468.10,1575.34,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1243.17,1575.34
2017,426,4,26,CSSwP,Soy,3315.41,.,301468.10,1087.46,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,755.29,1087.46
2017,427,4,34,CS,Soy,3075.70,.,301468.10,1008.83,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,676.66,1008.83
2017,430,4,18,CSSwSf,Soy,3248.91,.,301468.10,1065.64,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,733.47,1065.64
2017,431,4,28,CSSwP,Pea,4825.16,.,741315.00,1254.54,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,962.58,1254.54
2017,432,4,20,CSSwSf,Sun,3158.30,110.98,66718.35,1168.57,100.08,62.70,.,.,62.70,85.45,47.18,17.91,124.86,17.29,455.46,713.11,1168.57
2017,434,4,33,CS,Corn,6655.57,122.19,59994.62,811.98,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,196.76,811.98
2018,104,1,29,COWwS,Oat,3935.60,122.19,3229170.00,724.15,45.21,12.28,.,14.09,26.37,98.97,41.74,17.04,79.78,32.60,341.72,382.43,724.15
2018,105,1,28,CSSwP,Corn,9679.19,119.95,61776.25,1287.33,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,731.39,1287.33
2018,106,1,37,CCC,CornHigh,5515.73,132.28,61776.25,733.59,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,167.66,733.59
2018,108,1,30,COWwS,Wwheat,2836.65,122.19,3444448.00,533.29,31.28,.,8.75,14.09,22.84,98.97,41.74,17.04,79.78,32.60,324.26,209.03,533.29
2018,110,1,20,CSSwSf,Corn,8661.19,132.28,61776.25,1151.94,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,586.01,1151.94
2018,113,1,34,CS,Corn,7906.01,132.28,61776.25,1051.50,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,485.57,1051.50
2018,117,1,12,CPWwS,Corn,10175.67,119.95,61776.25,1353.36,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,797.42,1353.36
2018,118,1,26,CSSwP,Swheat,1500.16,122.19,3444448.00,292.53,41.33,12.28,6.63,.,18.91,98.97,41.74,17.04,79.78,32.60,330.39,-37.86,292.53
2018,120,1,11,CPWwS,Soy,4840.07,.,301468.10,1418.14,99.48,12.28,32.56,.,44.84,0.00,47.67,,120.78,32.60,345.38,1072.76,1418.14
2018,122,1,19,CSSwSf,Sun,5583.08,119.95,66718.35,2009.91,100.08,74.38,.,.,74.38,97.16,47.67,17.04,120.78,16.30,473.41,1536.50,2009.91
2018,123,1,9,CPWwS,Pea,1031.69,.,741315.00,237.29,34.10,38.75,.,14.09,52.84,0.00,47.67,,120.78,32.60,287.99,-50.71,237.29
2018,124,1,18,CSSwSf,Swheat,1423.28,112.10,3444448.00,277.54,41.33,12.28,6.63,.,18.91,90.80,41.74,17.04,79.78,32.60,322.22,-44.68,277.54
2018,125,1,10,CPWwS,Wwheat,4571.33,112.10,3444448.00,859.41,31.28,.,8.75,14.09,22.84,90.80,41.74,17.04,79.78,32.60,316.09,543.32,835.20
2018,129,1,32,COWwS,Corn,10543.88,132.28,61776.25,1402.34,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,836.41,1402.34
2018,130,1,27,CSSwP,Pea,3215.98,.,741315.00,739.68,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,451.68,739.68
2018,131,1,25,CSSwP,Soy,4582.35,.,301468.10,1342.63,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,997.25,1342.63
2018,132,1,31,COWwS,Soy,4589.81,.,301468.10,1344.81,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,999.43,1344.81
2018,133,1,33,CS,Soy,3916.05,.,301468.10,1147.40,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,802.02,1147.40
2018,136,1,17,CSSwSf,Soy,3529.60,.,301468.10,1034.17,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,688.79,1034.17
2018,201,2,37,CCC,CornHigh,7636.96,132.28,61776.25,1015.72,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,449.79,1015.72
2018,204,2,31,COWwS,Soy,4352.46,.,301468.10,1275.27,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,929.89,1275.27
2018,205,2,18,CSSwSf,Swheat,1230.09,112.10,3444448.00,239.87,41.33,12.28,6.63,.,18.91,90.80,41.74,17.04,79.78,32.60,322.22,-82.35,239.87
2018,206,2,11,CPWwS,Soy,4537.03,.,301468.10,1329.35,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,983.97,1329.35
2018,207,2,29,COWwS,Oat,4145.33,122.19,3229170.00,762.74,45.21,12.28,.,14.09,26.37,98.97,41.74,17.04,79.78,32.60,341.72,421.02,762.74
2018,209,2,17,CSSwSf,Soy,3784.73,.,301468.10,1108.93,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,763.55,1108.93
2018,213,2,26,CSSwP,Swheat,1368.08,122.19,3444448.00,266.78,41.33,12.28,6.63,.,18.91,98.97,41.74,17.04,79.78,32.60,330.39,-63.61,266.78
2018,217,2,25,CSSwP,Soy,5072.53,.,301468.10,1486.25,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,1140.87,1486.25
2018,220,2,33,CS,Soy,3595.86,.,301468.10,1053.59,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,708.21,1053.59
2018,221,2,10,CPWwS,Wwheat,4193.05,112.10,3444448.00,788.29,31.28,.,8.75,14.09,22.84,90.80,41.74,17.04,79.78,32.60,316.09,472.20,788.29
2018,222,2,12,CPWwS,Corn,8586.98,119.95,61776.25,1142.07,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,586.13,1142.07
2018,223,2,30,COWwS,Wwheat,2363.95,122.19,3444448.00,444.42,31.28,.,8.75,14.09,22.84,98.97,41.74,17.04,79.78,32.60,324.26,120.16,444.42
2018,227,2,27,CSSwP,Pea,2819.35,.,741315.00,648.45,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,360.46,648.45
2018,230,2,34,CS,Corn,7789.77,132.28,61776.25,1036.04,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,470.11,1036.04
2018,231,2,19,CSSwSf,Sun,3476.27,119.95,66718.35,1251.46,100.08,74.38,.,.,74.38,97.16,47.67,17.04,120.78,16.30,473.41,778.05,1251.46
2018,232,2,32,COWwS,Corn,9680.01,132.28,61776.25,1287.44,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,721.51,1287.44
2018,233,2,28,CSSwP,Corn,11149.76,119.95,61776.25,1482.92,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,926.98,1482.92
2018,234,2,20,CSSwSf,Corn,9239.75,132.28,61776.25,1228.89,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,662.96,1228.89
2018,235,2,9,CPWwS,Pea,1342.44,.,741315.00,308.76,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,20.77,308.76
2018,301,3,27,CSSwP,Pea,3067.95,.,741315.00,705.63,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,417.63,705.63
2018,302,3,10,CPWwS,Wwheat,3362.86,112.10,3444448.00,632.22,31.28,.,8.75,14.09,22.84,90.80,41.74,17.04,79.78,32.60,316.09,316.13,632.22
2018,303,3,32,COWwS,Corn,9751.34,132.28,61776.25,1296.93,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,731.00,1296.93
2018,304,3,11,CPWwS,Soy,4484.34,.,301468.10,1313.91,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,968.53,1313.91
2018,307,3,37,CCC,CornHigh,4089.18,132.28,61776.25,543.86,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,-22.07,543.86
2018,310,3,34,CS,Corn,3630.74,132.28,61776.25,482.89,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,-83.04,482.89
2018,312,3,12,CPWwS,Corn,7409.73,119.95,61776.25,985.49,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,429.55,985.49
2018,313,3,20,CSSwSf,Corn,5624.03,132.28,61776.25,748.00,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,182.07,748.00
2018,314,3,26,CSSwP,Swheat,908.77,122.19,3444448.00,177.21,41.33,12.28,6.63,.,18.91,98.97,41.74,17.04,79.78,32.60,330.39,-153.18,177.21
2018,318,3,31,COWwS,Soy,3939.46,.,301468.10,1154.26,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,808.88,1154.26
2018,321,3,19,CSSwSf,Sun,2680.97,119.95,66718.35,965.15,100.08,74.38,.,.,74.38,97.16,47.67,17.04,120.78,16.30,473.41,491.74,965.15
2018,323,3,25,CSSwP,Soy,4313.86,.,301468.10,1263.96,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,918.58,1263.96
2018,327,3,28,CSSwP,Corn,11607.20,119.95,61776.25,1543.76,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,987.82,1543.76
2018,328,3,30,COWwS,Wwheat,2911.73,122.19,3444448.00,547.41,31.28,.,8.75,14.09,22.84,98.97,41.74,17.04,79.78,32.60,324.26,223.14,547.41
2018,330,3,29,COWwS,Oat,4146.51,122.19,3229170.00,762.96,45.21,12.28,.,14.09,26.37,98.97,41.74,17.04,79.78,32.60,341.72,421.24,762.96
2018,332,3,33,CS,Soy,3802.42,.,301468.10,1114.11,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,768.73,1114.11
2018,333,3,9,CPWwS,Pea,2037.39,.,741315.00,468.60,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,180.60,468.60
2018,336,3,18,CSSwSf,Swheat,1642.09,112.10,3444448.00,320.21,41.33,12.28,6.63,.,18.91,90.80,41.74,17.04,79.78,32.60,322.22,-2.01,320.21
2018,337,3,17,CSSwSf,Soy,4113.19,.,301468.10,1205.16,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,859.78,1205.16
2018,402,4,30,COWwS,Wwheat,2242.01,122.19,3444448.00,421.50,31.28,.,8.75,14.09,22.84,98.97,41.74,17.04,79.78,32.60,324.26,97.24,421.50
2018,404,4,11,CPWwS,Soy,4481.96,.,301468.10,1313.21,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,967.83,1313.21
2018,406,4,17,CSSwSf,Soy,4094.43,.,301468.10,1199.67,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,854.29,1199.67
2018,407,4,10,CPWwS,Wwheat,3102.35,112.10,3444448.00,583.24,31.28,.,8.75,14.09,22.84,90.80,41.74,17.04,79.78,32.60,316.09,267.15,583.24
2018,408,4,12,CPWwS,Corn,7662.88,119.95,61776.25,1019.16,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,463.22,1019.16
2018,409,4,29,COWwS,Oat,3456.90,122.19,3229170.00,636.07,45.21,12.28,.,14.09,26.37,98.97,41.74,17.04,79.78,32.60,341.72,294.35,636.07
2018,411,4,25,CSSwP,Soy,3518.63,.,301468.10,1030.96,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,685.58,1030.96
2018,413,4,31,COWwS,Soy,4266.26,.,301468.10,1250.01,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,904.63,1250.01
2018,419,4,19,CSSwSf,Sun,2634.34,119.95,66718.35,948.36,100.08,74.38,.,.,74.38,97.16,47.67,17.04,120.78,16.30,473.41,474.96,948.36
2018,420,4,37,CCC,CornHigh,5527.38,132.28,61776.25,735.14,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,169.21,735.14
2018,421,4,9,CPWwS,Pea,1375.21,.,741315.00,316.30,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,28.30,316.30
2018,422,4,27,CSSwP,Pea,2924.44,.,741315.00,672.62,34.10,38.75,.,14.09,52.84,0.00,47.67,.,120.78,32.60,287.99,384.63,672.62
2018,423,4,32,COWwS,Corn,9563.08,132.28,61776.25,1271.89,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,705.96,1271.89
2018,426,4,26,CSSwP,Swheat,1291.20,122.19,3444448.00,251.78,41.33,12.28,6.63,.,18.91,98.97,41.74,17.04,79.78,32.60,330.39,-78.60,251.78
2018,427,4,34,CS,Corn,7321.23,132.28,61776.25,973.72,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,407.79,973.72
2018,430,4,18,CSSwSf,Swheat,1452.84,112.10,3444448.00,283.30,41.33,12.28,6.63,.,18.91,90.80,41.74,17.04,79.78,32.60,322.22,-38.91,283.30
2018,431,4,28,CSSwP,Corn,11949.93,119.95,61776.25,1589.34,163.71,65.95,6.34,.,72.28,97.16,47.30,17.04,125.85,32.60,555.94,1033.40,1589.34
2018,432,4,20,CSSwSf,Corn,6387.72,132.28,61776.25,849.57,163.71,65.95,6.34,.,72.28,107.15,47.30,17.04,125.85,32.60,565.93,283.64,849.57
2018,434,4,33,CS,Soy,3657.67,.,301468.10,1071.70,99.48,12.28,32.56,.,44.84,0.00,47.67,.,120.78,32.60,345.38,726.32,1071.70
2019,104,1,29,COWwS,Wwheat,4214.36,125.55,3444448.00,678.51,37.89,14.09,18.55,14.09,46.73,119.27,45.32,18.03,78.79,53.73,399.77,278.74,678.51
2019,105,1,28,CSSwP,Soy,3171.92,.,301468.10,957.92,99.48,14.09,68.89,.,82.98,0.00,50.88,.,127.33,35.82,396.49,561.43,957.92
2019,106,1,37,CCC,CornHigh,4066.75,127.79,61776.25,532.74,164.94,14.09,20.63,.,34.72,121.40,50.39,18.03,133.63,35.82,558.93,-26.18,532.74
